setup,direction,bias,session,entry,sl,tp,rr,qty,entry_time,entry_tf,exit,exit_time,result,exit_note,_confirm_check_i15,_confirm_level,r_pnl,equity_r
2,long,bullish,london,7085.75,7075.75,7110.75,2.5,25,2018-10-24 12:49:00,1m,7110.75,2018-10-24 13:30:00,win,TP,,7092.75,2.446,41.686166495451275
1,short,bearish,ny,6905.5,6915.5,6880.5,0.325,25,2018-10-26 19:34:00,1m,6908.75,2018-10-26 19:45:00,loss,M15_INVALIDATED,21507.0,6893.25,-1.054,40.63216649545127
1,short,bearish,london,6936.25,6949.25,6903.75,2.5,19,2018-10-29 14:51:00,1m,6949.25,2018-10-29 15:00:00,loss,SL,,6949.25,-1.0415384615384615,39.590628033912814
1,short,bearish,london,6980.5,6991.5,6953.0,2.5,22,2018-11-01 14:58:00,1m,6953.0,2018-11-01 15:00:00,win,1m_TP_first,,6991.5,2.4509090909090907,42.04153712482191
2,long,bullish,asia,6966.75,6956.75,6991.75,2.5,25,2018-11-05 06:10:00,1m,6956.75,2018-11-05 10:15:00,loss,SL,,6971.75,-1.054,40.987537124821905
1,short,bearish,ny,6978.75,6988.75,6953.75,0.175,25,2018-11-06 17:02:00,1m,6980.5,2018-11-06 17:15:00,loss,M15_INVALIDATED,22151.0,6969.5,-1.054,39.9335371248219
1,short,bearish,ny,6901.75,6911.75,6876.75,2.5,25,2018-11-14 15:50:00,1m,6876.75,2018-11-14 16:00:00,win,TP,,6907.5,2.446,42.3795371248219
2,long,bullish,london,6512.0,6502.0,6537.0,2.5,25,2018-11-23 14:50:00,1m,6537.0,2018-11-23 15:30:00,win,TP,,6506.5,2.446,44.8255371248219
2,long,bullish,ny,6583.5,6573.5,6608.5,1.125,25,2018-11-23 17:19:00,1m,6572.25,2018-11-23 17:30:00,loss,M15_INVALIDATED,23347.0,6574.5,-1.054,43.7715371248219
2,long,bullish,ny,6630.25,6620.25,6655.25,2.5,25,2018-11-27 15:45:00,1m,6655.25,2018-11-27 16:00:00,win,TP,,6623.75,2.446,46.217537124821895
1,short,bearish,ny,6893.75,6903.75,6868.75,2.5,25,2018-12-04 18:54:00,1m,6868.75,2018-12-04 19:15:00,win,TP,,6932.5,2.446,48.66353712482189
1,short,bearish,ny,6769.25,6779.25,6744.25,2.375,25,2018-12-06 18:38:00,1m,6745.5,2018-12-06 19:30:00,win,M15_INVALIDATED,24151.0,6737.0,2.321,50.98453712482189
1,short,bearish,asia,6763.25,6773.25,6738.25,2.025,25,2018-12-12 02:02:00,1m,6743.0,2018-12-12 02:30:00,win,M15_INVALIDATED,24457.0,6735.5,1.9709999999999999,52.95553712482189
1,short,bearish,asia,6770.75,6780.75,6745.75,2.5,25,2018-12-12 07:05:00,1m,6780.75,2018-12-12 07:15:00,loss,SL,,6786.0,-1.054,51.901537124821886
1,short,bearish,asia,6775.5,6785.5,6750.5,2.5,25,2018-12-12 07:33:00,1m,6785.5,2018-12-12 07:45:00,loss,SL,,6786.0,-1.054,50.84753712482188
1,short,bearish,london,6779.5,6789.5,6754.5,2.625,25,2018-12-12 12:20:00,1m,6805.75,2018-12-12 12:30:00,loss,M15_INVALIDATED,24497.0,6786.0,-1.054,49.79353712482188
1,short,bearish,ny,6710.0,6726.75,6668.125,2.5,14,2018-12-14 16:28:00,1m,6726.75,2018-12-14 16:45:00,loss,SL,,6717.5,-1.0322388059701493,48.76129831885173
2,long,bullish,ny,6522.25,6508.75,6556.0,2.5,18,2018-12-19 15:34:00,1m,6556.0,2018-12-19 15:45:00,win,TP,,6509.5,2.46,51.22129831885173
1,short,bearish,ny,6375.5,6385.5,6350.5,2.5,25,2018-12-20 16:14:00,1m,6350.5,2018-12-20 16:30:00,win,TP,,6390.5,2.446,53.66729831885173
1,short,bearish,london,6330.75,6340.75,6305.75,2.5,25,2018-12-21 15:25:00,1m,6305.75,2018-12-21 15:30:00,win,TP,,6325.75,2.446,56.113298318851726
1,short,bearish,ny,6319.5,6329.5,6294.5,2.5,25,2018-12-21 16:20:00,1m,6294.5,2018-12-21 16:30:00,win,TP,,6325.75,2.446,58.559298318851724
1,short,bearish,ny,6131.25,6141.25,6106.25,2.5,25,2018-12-27 18:25:00,1m,6106.25,2018-12-27 18:30:00,win,TP,,6123.0,2.446,61.00529831885172
1,short,bearish,ny,6089.75,6105.75,6049.75,1.125,15,2018-12-27 19:49:00,1m,6071.75,2018-12-27 20:00:00,win,EOD_CLOSE,25444.0,6098.0,1.09125,62.096548318851724
2,long,bullish,ny,6270.75,6260.75,6295.75,2.5,25,2018-12-28 17:08:00,1m,6295.75,2018-12-28 17:15:00,win,TP,,6265.5,2.446,64.54254831885173
2,long,bullish,ny,6346.25,6336.25,6371.25,2.75,25,2018-12-31 15:59:00,1m,6318.75,2018-12-31 18:00:00,loss,M15_INVALIDATED,25624.0,6336.0,-1.054,63.48854831885173
1,short,bearish,ny,6601.75,6611.75,6576.75,2.5,25,2019-01-10 19:08:00,1m,6576.75,2019-01-10 19:15:00,win,TP,,6609.5,2.446,65.93454831885172
1,short,bearish,asia,6576.75,6586.75,6551.75,2.5,25,2019-01-14 02:37:00,1m,6551.75,2019-01-14 02:45:00,win,TP,,6571.75,2.446,68.38054831885172
2,long,bullish,asia,6589.25,6570.75,6635.5,2.5,13,2019-01-15 02:13:00,1m,6570.75,2019-01-15 10:45:00,loss,SL,,6572.0,-1.0291891891891891,67.35135912966254
1,short,bearish,ny,6742.75,6752.75,6717.75,2.5,25,2019-01-22 15:41:00,1m,6717.75,2019-01-22 15:45:00,win,TP,,6737.25,2.446,69.79735912966254
1,short,bearish,london,6883.75,6893.75,6858.75,0.525,25,2019-02-01 15:19:00,1m,6878.5,2019-02-01 15:30:00,win,M15_INVALIDATED,27743.0,6878.25,0.47100000000000003,70.26835912966254
1,short,bearish,ny,6896.5,6907.5,6869.0,2.5,22,2019-02-01 15:50:00,1m,6907.5,2019-02-01 16:00:00,loss,SL,,6903.25,-1.049090909090909,69.21926822057164
1,short,bearish,ny,7023.25,7033.25,6998.25,2.5,25,2019-02-06 15:38:00,1m,7033.25,2019-02-06 15:45:00,loss,SL,,7033.75,-1.054,68.16526822057163
2,long,bullish,ny,7045.5,7035.5,7070.5,2.5,25,2019-02-13 16:25:00,1m,7035.5,2019-02-13 17:15:00,loss,SL,,7034.5,-1.054,67.11126822057163
2,long,bullish,ny,7114.25,7104.25,7139.25,2.5,25,2019-03-04 19:14:00,1m,7104.25,2019-03-04 19:15:00,loss,1m_SL_first,,7105.0,-1.054,66.05726822057163
1,short,bearish,asia,7141.75,7151.75,7116.75,2.5,25,2019-03-05 02:11:00,1m,7151.75,2019-03-05 02:15:00,loss,SL,,7151.0,-1.054,65.00326822057163
1,short,bearish,asia,7133.75,7143.75,7108.75,2.5,25,2019-03-05 02:45:00,1m,7143.75,2019-03-05 03:30:00,loss,SL,,7151.0,-1.054,63.949268220571625
2,long,bullish,ny,7149.5,7139.5,7174.5,2.5,25,2019-03-06 19:41:00,1m,7139.5,2019-03-06 19:45:00,loss,SL,,7138.75,-1.054,62.89526822057162
2,long,bullish,london,7103.75,7093.75,7128.75,2.5,25,2019-03-11 14:40:00,1m,7128.75,2019-03-11 15:00:00,win,TP,,7110.0,2.446,65.34126822057162
1,short,bearish,london,7385.75,7395.75,7360.75,2.5,25,2019-03-21 12:25:00,1m,7395.75,2019-03-21 14:30:00,loss,SL,,7392.25,-1.054,64.28726822057162
